compositionId,recipeId,quantity,unit,ingredientId
1027,216,6,oz,855
1028,217,2,oz,398
1029,217,.5,oz,438
1030,217,3,dash,1151
1031,218,1.5,oz,98
1032,218,.5,oz,1027
1033,218,.5,oz,65
1034,218,.5,oz,1041
1035,218,.5,oz,504
1036,219,1.5,oz,16
1037,219,.5,oz,1076
1038,219,.5,oz,1038
1039,219,3,dash,1151
1040,219,,,389
1041,220,.5,oz,547
1042,220,.5,oz,674
1043,221,1,oz,586
1044,221,3,oz,664
1045,221,1,oz,438
1046,221,1,oz,827
1047,222,1.5,oz,653
1048,222,.5,oz,528
1049,222,.5,oz,403
1050,222,3,oz,1193
1051,223,1.5,oz,547
1052,223,.75,oz,1208
1053,223,.5,oz,967
1054,223,1,,964
1055,224,.75,oz,860
1056,224,.75,oz,594
1057,224,.75,oz,1087
1058,224,2,oz,38
1059,224,2,oz,1187
1060,225,2,oz,984
1061,225,1,oz,254
1062,225,1,oz,646
1063,225,.5,oz,936
1064,225,3,dash,636
1065,226,2,oz,627
1066,226,1,oz,487
1067,226,.75,oz,231
1068,226,.5,oz,254
1069,227,2,part,222
1070,227,1,part,967
1071,227,.5,part,127
1072,227,.5,part,264
1073,228,2,part,291
1074,228,.5,part,247
1075,228,.5,part,39
1076,228,.25,part,967
1077,228,.25,part,127
1078,228,,,1029
1079,229,1.5,oz,565
1080,229,1.25,oz,848
1081,229,.5,oz,967
1082,229,.75,oz,982
1083,229,1,,86
1084,230,1.5,oz,550
1085,230,.75,oz,25
1086,230,1,oz,311
1087,231,1.5,oz,470
1088,231,.5,oz,184
1089,231,.75,oz,827
1090,231,1.5,oz,3
1091,232,1,oz,1003
1092,232,1,bottle,595
1093,233,1,oz,79
1094,233,2.5,oz,470
1095,233,2,bsp,1161
1096,233,2,bsp,161
1097,234,1.25,oz,262
1098,234,.75,oz,935
1099,234,2,oz,422
1100,234,.75,oz,283
1101,234,3,dash,564
1102,235,1,pkg,0
1103,235,14,oz,349
1104,235,1.5,c,258
1105,235,.5,c,1081
1106,235,.3,c,1076
1107,235,8,whole,405
1108,235,6,,1024
1109,235,5,,107
1110,235,1,stick,0
1111,235,2,in,1174
1112,236,2,oz,477
1113,236,.75,oz,674
1114,236,3,dash,713
1115,237,2,oz,189
1116,237,1.75,oz,1208
1117,237,1,oz,282
1118,237,1,oz,967
1119,237,.5,tsp,703
1120,237,10,dash,223
1121,237,3,,583
1122,237,1,oz,818
1123,237,1,tsp,702
1124,238,1,oz,917
1125,238,.75,oz,652
1126,238,.75,oz,10
1127,238,2,Tbsp,988
1128,238,1,pinch,985
1129,239,2,oz,743
1130,239,.5,oz,542
1131,239,.5,oz,178
1132,239,.5,oz,914
1133,239,1.5,oz,1140
1134,239,4,inch,1057
1135,240,2,oz,98
1136,240,.5,oz,453
1137,240,.75,oz,925
1138,240,.75,oz,898
1139,240,1,tincture,1217
1140,240,.75,oz,567
1141,240,1,,86
1142,241,1.5,oz,98
1143,241,.5,oz,166
1144,241,1,oz,1039
1145,241,.75,oz,843
1146,241,1,tincture,1114
1147,241,10,,535
1148,242,2,oz,98
1149,242,.75,oz,706
1150,242,.5,oz,199
1151,242,.5,oz,753
1152,242,2,oz,123
1153,243,1.5,oz,206
1154,243,1.5,oz,22
1155,243,.5,oz,654
1156,243,.25,oz,925
1157,243,.25,oz,109
1158,243,1,bsp,617
1159,243,1,tincture,90
1160,244,2,oz,98
1161,244,.75,oz,996
1162,244,.5,oz,254
1163,244,.5,oz,1133
1164,245,1.5,oz,324
1165,245,.75,oz,1144
1166,245,.5,oz,178
1167,245,1,oz,442
1168,245,1,tincture,772
1169,246,1,oz,98
1170,246,1,oz,1032
1171,246,1.5,oz,482
1172,247,1.5,oz,298
